date,sejrik,mencik2,Mates511,ominar
2018-08-25,64,70,0,0
2018-08-26,64,71,0,0
2018-08-27,64,71,0,0
2018-08-28,64,71,0,0
2018-08-29,64,71,0,0
2018-08-30,64,71,0,0
2018-08-31,64,71,0,0
2018-09-01,64,71,0,0
2018-09-02,64,71,0,0
2018-09-03,64,71,0,0
2018-09-04,64,71,0,0
2018-09-05,64,71,0,0
2018-09-06,64,71,0,0
2018-09-07,64,71,0,0
2018-09-08,64,71,0,0
2018-09-09,64,71,0,0
2018-09-10,64,72,0,0
2018-09-11,64,72,0,0
2018-09-12,64,72,0,0
2018-09-13,64,73,0,0
2018-09-14,64,74,0,0
2018-09-15,64,74,0,0
2018-09-16,64,74,0,0
2018-09-17,64,74,0,0
2018-09-18,64,74,0,0
2018-09-19,64,74,0,0
2018-09-20,64,74,0,0
2018-09-21,64,74,0,0
2018-09-22,64,74,0,0
2018-09-23,64,74,0,0
2018-09-24,65,74,0,0
2018-09-25,65,74,0,0
2018-09-26,65,74,0,0
2018-09-27,65,74,0,0
2018-09-28,65,74,0,0
2018-09-29,65,74,0,0
2018-09-30,65,74,0,0
2018-10-01,65,74,0,0
2018-10-02,65,74,0,0
2018-10-03,65,74,0,0
2018-10-04,65,74,0,0
2018-10-05,65,74,0,0
2018-10-06,65,74,0,0
2018-10-07,65,74,0,0
2018-10-08,65,74,0,0
2018-10-09,65,74,0,0
2018-10-10,65,74,0,0
2018-10-11,65,74,0,0
2018-10-12,65,74,0,0
2018-10-13,66,74,0,0
2018-10-14,66,74,0,0
2018-10-15,66,74,0,0
2018-10-16,66,74,0,0
2018-10-17,66,75,0,0
2018-10-18,66,75,0,0
2018-10-19,66,75,0,0
2018-10-20,66,75,0,0
2018-10-21,66,75,0,0
2018-10-22,66,75,0,0
2018-10-23,66,75,0,0
2018-10-24,66,75,0,0
2018-10-25,66,75,0,0
2018-10-26,66,75,0,0
2018-10-27,66,75,0,0
2018-10-28,66,75,0,0
2018-10-29,66,75,0,0
2018-10-30,66,75,0,0
2018-10-31,66,75,0,0
2018-11-01,66,75,0,0
2018-11-02,66,75,0,0
2018-11-03,66,75,0,0
2018-11-04,66,75,0,0
2018-11-05,66,75,0,0
2018-11-06,66,75,0,0
2018-11-07,66,75,0,0
2018-11-08,66,75,0,0
2018-11-09,66,75,0,0
2018-11-10,66,75,0,0
2018-11-11,66,75,0,0
2018-11-12,66,75,0,0
2018-11-13,66,75,0,0
2018-11-14,66,75,0,0
2018-11-15,66,75,0,0
2018-11-16,66,75,0,0
2018-11-17,66,75,0,0
2018-11-18,66,76,0,0
2018-11-19,66,76,0,0
2018-11-20,66,76,0,0
2018-11-21,66,76,0,0
2018-11-22,66,76,0,0
2018-11-23,67,76,0,0
2018-11-24,67,76,0,0
2018-11-25,67,76,0,0
2018-11-26,67,76,0,0
2018-11-27,67,76,0,0
2018-11-28,67,76,0,0
2018-11-29,67,76,0,0
2018-11-30,67,76,0,0
2018-12-01,67,76,0,0
2018-12-02,67,76,0,0
2018-12-03,67,76,0,0
2018-12-04,67,76,0,0
2018-12-05,67,76,0,0
2018-12-06,67,76,0,0
2018-12-07,67,76,0,0
2018-12-08,67,76,0,0
2018-12-09,67,76,0,0
2018-12-10,67,76,0,0
2018-12-11,67,76,0,0
2018-12-12,67,76,0,0
2018-12-13,67,76,0,0
2018-12-14,67,76,0,0
2018-12-15,67,76,0,0
2018-12-16,67,76,0,0
2018-12-17,67,76,0,0
2018-12-18,67,76,0,0
2018-12-19,67,76,0,0
2018-12-20,67,76,0,0
2018-12-21,67,76,0,0
2018-12-22,67,76,0,0
2018-12-23,67,76,0,0
2018-12-24,67,76,0,0
2018-12-25,67,76,0,0
2018-12-26,67,76,0,0
2018-12-27,67,76,0,0
2018-12-28,67,76,0,0
2018-12-29,67,76,0,0
2018-12-30,67,76,0,0
2018-12-31,67,76,0,0
2019-01-01,67,76,0,0
2019-01-02,67,76,0,0
2019-01-03,67,76,0,0
2019-01-04,67,76,0,0
2019-01-05,67,76,0,0
2019-01-06,67,76,0,0
2019-01-07,67,76,0,0
2019-01-08,67,76,0,0
2019-01-09,67,76,0,0
2019-01-10,67,76,0,0
2019-01-11,67,76,0,0
2019-01-12,67,76,0,0
2019-01-13,67,76,0,0
2019-01-14,67,76,0,0
2019-01-15,67,76,0,0
2019-01-16,67,76,0,0
2019-01-17,67,76,0,0
2019-01-18,67,76,0,0
2019-01-19,67,76,0,0
2019-01-20,67,76,0,0
2019-01-21,67,76,0,0
2019-01-22,67,76,0,0
2019-01-23,67,76,0,0
